Symbol,CompanyName,DpmName
ACB,AURORA CANNABIS INC COM,"Susquehanna Securities, LLC"
ACC,AMERICAN CAMPUS CMNTYS INC COM,GTS Securities LLC
ACCD,ACCOLADE INC COM,Citadel Securities LLC
ACCO,ACCO BRANDS CORP COM,"Susquehanna Securities, LLC"
ACEL,ACCEL ENTERTAINMENT INC COM CL A1,Belvedere Trading LLC
ACER,ACER THERAPEUTICS INC COM,"Susquehanna Securities, LLC"
ACES,ALPS ETF TR CLEAN ENERGY,"Wolverine Trading, LLC"
ACET,ADICET BIO INC COM,
ACEV,ACE CONVERGENCE ACQU CORP CL A,"Wolverine Trading, LLC"
ACGL,ARCH CAP GROUP LTD ORD,"Susquehanna Securities, LLC"
ACH,ALUMINUM CORP CHINA LIMITED SPON ADR H SHS,Citadel Securities LLC
ACHC,ACADIA HEALTHCARE COMPANY INC COM,"Group One Trading, L.P."
ACHR,ARCHER AVIATION INC COM CL A,Citadel Securities LLC
ACHV,ACHIEVE LIFE SCIENCES INC COM,
ACI,ALBERTSONS COS INC COMMON STOCK,"Wolverine Trading, LLC"
ACIU,AC IMMUNE SA SHS,
ACIW,ACI WORLDWIDE INC COM,Morgan Stanley & Co. LLC
ACLS,AXCELIS TECHNOLOGIES INC COM NEW,Citadel Securities LLC
ACM,AECOM COM,GTS Securities LLC
ACMR,ACM RESH INC COM CL A,"Group One Trading, L.P."
ACN,ACCENTURE PLC IRELAND SHS CLASS A,Citadel Securities LLC
ACOR,ACORDA THERAPEUTICS INC COM NEW,"Susquehanna Securities, LLC"
ACR,ACRES COMMERCIAL REALTY CORP COM NEW,"Wolverine Trading, LLC"
ACRE,ARES COML REAL ESTATE CORP COM,"Susquehanna Securities, LLC"
ACRS,ACLARIS THERAPEUTICS INC COM,"Group One Trading, L.P."
ACRX,ACELRX PHARMACEUTICALS INC COM,"Susquehanna Securities, LLC"
ACTG,ACACIA RESH CORP ACACIA TCH COM,Morgan Stanley & Co. LLC
ACVA,ACV AUCTIONS INC COM CL A,Citadel Securities LLC
ACWI,ISHARES TR MSCI ACWI ETF,"Susquehanna Securities, LLC"
ACWV,ISHARES INC MSCI GBL MIN VOL,"Susquehanna Securities, LLC"
ACWX,ISHARES TR MSCI ACWI EX US,Belvedere Trading LLC
ADAP,ADAPTIMMUNE THERAPEUTICS PLC SPONDS ADR,Citadel Securities LLC
ADBE,ADOBE SYSTEMS INCORPORATED COM,GTS Securities LLC
ADC,AGREE RLTY CORP COM,"Wolverine Trading, LLC"
ADCT,ADC THERAPEUTICS SA SHS,Citadel Securities LLC
ADES,ADVANCED EMISSIONS SOLUTIONS I COM,
ADI,ANALOG DEVICES INC COM,Citadel Securities LLC
ADIL,ADIAL PHARMACEUTICALS INC COM,"Susquehanna Securities, LLC"
ADM,ARCHER DANIELS MIDLAND CO COM,"Two Sigma Securities, LLC"
ADMA,ADMA BIOLOGICS INC COM,"Susquehanna Securities, LLC"
ADMP,ADAMIS PHARMACEUTICALS CORP COM NEW,Citadel Securities LLC
ADMS,ADAMAS PHARMACEUTICALS INC COM,Citadel Securities LLC
