Symbol,CompanyName,DpmName
SGMO,SANGAMO THERAPEUTICS INC COM,"Wolverine Trading, LLC"
SGMS,SCIENTIFIC GAMES CORP COM,Morgan Stanley & Co. LLC
SGOC,SGOCO GROUP LTD SHS NEW,
SGOL,ABERDEEN STD GOLD ETF TR PHYSCL GOLD SHS,Morgan Stanley & Co. LLC
SGOV,ISHARES TR 0-3 MNTH TREASRY,
SGRP,SPAR GROUP INC COM,
SGRY,SURGERY PARTNERS INC COM,"Group One Trading, L.P."
SGTX,SIGILON THERAPEUTICS INC COM,
SGU,STAR GROUP L P UNIT LTD PARTNR,
SH,PROSHARES TR SHORT S&P 500 NE,Citadel Securities LLC
SHAC,SCP & CO HEALTHCARE ACQUSTN CO COM CL A,
SHACU,SCP & CO HEALTHCARE ACQUSTN CO UNIT EX 102725,
SHACW,SCP & CO HEALTHCARE ACQUSTN CO WT EXP 012728,
SHAG,WISDOMTREE TR YIELD ENHANCED,
SHAK,SHAKE SHACK INC CL A,Morgan Stanley & Co. LLC
SHBI,SHORE BANCSHARES INC COM,
SHC,SOTERA HEALTH CO COM,
SHE,SPDR SER TR SSGA GNDER ETF,
SHEN,SHENANDOAH TELECOMMUNICATIONS COM,"Susquehanna Securities, LLC"
SHG,SHINHAN FINANCIAL GROUP CO LTD SPN ADR RESTRD,
SHI,SINOPEC SHANGHAI PETROCHEMICAL SPON ADR H,
SHIP,SEANERGY MARITIME HLDGS CORP SHS NEW,
SHIPW,SEANERGY MARITIME HLDGS CORP WT CL A 111021,
SHIPZ,SEANERGY MARITIME HLDGS CORP WT B EXP 051322,
SHLDQ,SEARS HOLDINGS CORPORATION COM,"Susquehanna Securities, LLC"
SHLOQ,SHILOH INDS INC COM,
SHLS,SHOALS TECHNOLOGIES GROUP INC CL A,"Susquehanna Securities, LLC"
SHLX,SHELL MIDSTREAM PARTNERS L P UNIT LTD INT,"Wolverine Trading, LLC"
SHM,SPDR SER TR NUVEEN BLMBRG SR,
SHO,SUNSTONE HOTEL INVS INC NEW COM,"Group One Trading, L.P."
SHO-E,SUNSTONE HOTEL INVS INC NEW RED PFD SER E,
SHO-F,SUNSTONE HOTEL INVS INC NEW PFD SER F,
SHOO,MADDEN STEVEN LTD COM,"Susquehanna Securities, LLC"
SHOP,SHOPIFY INC CL A,"Susquehanna Securities, LLC"
SHSP,SHARPSPRING INC COM,
SHV,ISHARES TR SHORT TREAS BD,
SHW,SHERWIN WILLIAMS CO COM,"Wolverine Trading, LLC"
SHY,ISHARES TR 1 3 YR TREAS BD,Citadel Securities LLC
SHYD,VANECK VECTORS ETF TR SHRT HGH YLD MUN,
SHYF,SHYFT GROUP INC COM,"Susquehanna Securities, LLC"
SHYG,ISHARES TR 0-5YR HI YL CP,"Wolverine Trading, LLC"
SHYL,DBX ETF TR XTRACKERS SHRT,
SI,SILVERGATE CAP CORP CL A,"Wolverine Trading, LLC"
SIBN,SI BONE INC COM,Citadel Securities LLC
SIC,SELECT INTERIOR CONCEPTS INC CL A,
SID,COMPANHIA SIDERURGICA NACIONAL SPONSORED ADR,Citadel Securities LLC
SIEB,SIEBERT FINL CORP COM,"Wolverine Trading, LLC"
SIEN,SIENTRA INC COM,"Wolverine Trading, LLC"
SIF,SIFCO INDS INC COM,
SIFY,SIFY TECHNOLOGIES LTD SPONSORED ADS,"Wolverine Trading, LLC"
SIG,SIGNET JEWELERS LIMITED SHS,"Susquehanna Securities, LLC"
SIGA,SIGA TECHNOLOGIES INC COM,"Group One Trading, L.P."
SIGI,SELECTIVE INS GROUP INC COM,"Wolverine Trading, LLC"
SIGIP,SELECTIVE INS GROUP INC 4.60 DP SH PFD B,
SIGM,SIGMA DESIGNS INC COM,
SII,SPROTT INC COM NEW,Belvedere Trading LLC
SIJ,PROSHARES TR ULTRASHORT INDL,
SIL,GLOBAL X FDS GLOBAL X SILVER,Citadel Securities LLC
SILC,SILICOM LTD ORD,
SILJ,ETF MANAGERS TR PRIME JUNIR SLVR,"Susquehanna Securities, LLC"
SILK,SILK RD MED INC COM,"Wolverine Trading, LLC"
SILV,SILVERCREST METALS INC COM,Citadel Securities LLC
SIM,GRUPO SIMEC SAB DE C V ADR,
SIMO,SILICON MOTION TECHNOLOGY CORP SPONSORED ADR,Citadel Securities LLC
SIMS,SPDR SER TR S&P KENSHO INTLG,
SINO,SINO-GLOBAL SHIPPING AMER LTD COM NEW,Belvedere Trading LLC
SINT,SINTX TECHNOLOGIES INC COM NEW,
SIOX,SIO GENE THERAPIES INC COMMON,"Susquehanna Securities, LLC"
SIRI,SIRIUS XM HOLDINGS INC COM,Morgan Stanley & Co. LLC
SITC,SITE CTRS CORP COM,Citadel Securities LLC
SITC-A,SITE CTRS CORP DEP SH CUM PFD A,
SITC-K,SITE CTRS CORP DEP SH CUM PFD K,
SITE,SITEONE LANDSCAPE SUPPLY INC COM,"Wolverine Trading, LLC"
SITM,SITIME CORP COM,
SITO,SITO MOBILE LTD COM NEW,
SIVB,SVB FINANCIAL GROUP COM,GTS Securities LLC
SIVBP,SVB FINANCIAL GROUP 5.25% DPRP PFD A,
SIVR,ABERDEEN STD SILVER ETF TR PHYSCL SILVR SHS,Morgan Stanley & Co. LLC
SIX,SIX FLAGS ENTMT CORP NEW COM,Citadel Securities LLC
SIXA,EXCHANGE TRADED CONCEPTS TR 6 MERIDIAN MEGA,
SIXB,Materials Select Sector Index S&P 500,"Susquehanna Securities, LLC"
SIXC,Communication Services Select Sector Index S&P 500,
SIXE,Energy Select Sector Index S&P 500,
SIXH,EXCHANGE TRADED CONCEPTS TR 6 MERIDIAN HEDG,
SIXI,Industrials Select Sector Index S&P 500,"Susquehanna Securities, LLC"
SIXL,EXCHANGE TRADED CONCEPTS TR 6 MERIDIAN LOW,
SIXM,Financial Select Sector Index S&P 500,"Susquehanna Securities, LLC"
SIXR,Consumer Staples Select Sector Index S&P 500,
SIXRE,Real Estate Select Sector Index S&P 500,"Susquehanna Securities, LLC"
SIXS,EXCHANGE TRADED CONCEPTS TR 6 MERIDIAN SMALL,
SIXT,Technology Select Sector Index S&P 500,
SIXU,Utilities Select Sector Index S&P 500,"Susquehanna Securities, LLC"
SIXV,Health Care Select Sector Index S&P 500,"Susquehanna Securities, LLC"
SIXY,Consumer Discretionary Select Sector Index S&P 500,"Susquehanna Securities, LLC"
SIZE,ISHARES TR MSCI USA SZE FT,"Wolverine Trading, LLC"
SJ,SCIENJOY HOLDING CORP SHS,
SJB,PROSHARES TR SHRT HGH YIELD,"Susquehanna Securities, LLC"
SJI,SOUTH JERSEY INDS INC COM,
SJIJ,SOUTH JERSEY INDS INC CAL NT 21,
SJIU,SOUTH JERSEY INDS INC CORP UNITS,
SJIV,SOUTH JERSEY INDS INC UNIT EX 040124,
SJM,SMUCKER J M CO COM NEW,GTS Securities LLC
SJNK,SPDR SER TR BLOOMBERG SRT TR,"Wolverine Trading, LLC"
SJOYW,SCIENJOY HOLDING CORP WT EXP 020524,
SJR,SHAW COMMUNICATIONS INC CL B CONV,Morgan Stanley & Co. LLC
SJT,SAN JUAN BASIN RTY TR UNIT BEN INT,"Susquehanna Securities, LLC"
SJW,SJW GROUP COM,
SKF,PROSHARES TR ULTSHT FINLS NEW,Citadel Securities LLC
SKLZ,SKILLZ INC COM,"Group One Trading, L.P."
SKLZ+,SKILLZ INC WT EXP 022627,
SKM,SK TELECOM LTD SPONSORED ADR,"Wolverine Trading, LLC"
SKOR,FLEXSHARES TR CR SCD US BD,
SKT,TANGER FACTORY OUTLET CTRS INC COM,"Group One Trading, L.P."
SKX,SKECHERS U S A INC CL A,"Susquehanna Securities, LLC"
SKY,SKYLINE CHAMPION CORPORATION COM,"Group One Trading, L.P."
SKYU,PROSHARES TR ULTR NASDAQCMPTG,
SKYW,SKYWEST INC COM,"Wolverine Trading, LLC"
SKYY,FIRST TR EXCHANGE TRADED FD II CLOUD COMPUTING,"Susquehanna Securities, LLC"
SLAB,SILICON LABORATORIES INC COM,"Susquehanna Securities, LLC"
SLAC=,SOCIAL LEVERAGE ACQUISN CORP I UNIT,
SLAMU,SLAM CORP UNIT,
SLB,SCHLUMBERGER LTD COM,Citadel Securities LLC
SLCA,U S SILICA HLDGS INC COM,"Susquehanna Securities, LLC"
SLCR,SILVER CREST ACQUISITION CORP CL A SHS,
SLCRU,SILVER CREST ACQUISITION CORP UNIT,
SLCRW,SILVER CREST ACQUISITION CORP WT EXP 121525,
SLCT,SELECT BANCORP INC NEW COM,
SLDB,SOLID BIOSCIENCES INC COM,"Group One Trading, L.P."
SLF,SUN LIFE FINANCIAL INC. COM,"Susquehanna Securities, LLC"
SLG,SL GREEN RLTY CORP COM,"Susquehanna Securities, LLC"
SLG-I,SL GREEN RLTY CORP PFD SER I,
SLGG,SUPER LEAGUE GAMING INC COM,
SLGL,SOL GEL TECHNOLOGIES SHS,
SLGN,SILGAN HOLDINGS INC COM,GTS Securities LLC
SLM,SLM CORP COM,Citadel Securities LLC
SLMBP,SLM CORP PFD SER B,
SLN,SILENCE THERAPEUTICS PLC ADS,
SLNG,STABILIS ENERGY INC COM,
SLNO,SOLENO THERAPEUTICS INC COM NEW,"Group One Trading, L.P."
SLP,SIMULATIONS PLUS INC COM,"Susquehanna Securities, LLC"
SLQD,ISHARES TR 0-5YR INVT GR CP,
SLQT,SELECTQUOTE INC COM,"Wolverine Trading, LLC"
SLRC,SLR INVESTMENT CORP COM,"Wolverine Trading, LLC"
SLRX,SALARIUS PHARMACEUTICALS INC COM NEW,
SLS,SELLAS LIFE SCIENCES GROUP INC COM NEW,Citadel Securities LLC
SLT,PACER FDS TR SALT HIG TRUBT,
SLV,ISHARES SILVER TR ISHARES,GTS Securities LLC
SLVO,CREDIT SUISSE AG NASSAU BRH X LINK SILVER,
SLVP,ISHARES INC MSCI GLB SLV&MTL,
SLX,VANECK VECTORS ETF TR STEEL ETF,Citadel Securities LLC
SLY,SPDR SER TR S&P 600 SML CAP,
SLYG,SPDR SER TR S&P 600 SMCP GRW,
SLYV,SPDR SER TR S&P 600 SMCP VAL,Belvedere Trading LLC
SM,SM ENERGY CO COM,"Susquehanna Securities, LLC"
SMAR,SMARTSHEET INC COM CL A,"Group One Trading, L.P."
SMB,VANECK VECTORS ETF TR SHORT MUNI ETF,
SMBC,SOUTHERN MO BANCORP INC COM,
SMBK,SMARTFINANCIAL INC COM NEW,"Wolverine Trading, LLC"
SMCI,SUPER MICRO COMPUTER INC COM,"Susquehanna Securities, LLC"
SMCP,ETF SER SOLUTIONS ALPHAMARK SM,
SMDD,PROSHARES TR ULTPRO SHT,
SMDV,PROSHARES TR RUSS 2000 DIVD,Belvedere Trading LLC
SMDY,SYNTAX ETF TR STRATIFIE MDCP,
SMED,SHARPS COMPLIANCE CORP COM,Citadel Securities LLC
SMFG,SUMITOMO MITSUI FINL GROUP INC SPONSORED ADR,"Wolverine Trading, LLC"
SMG,SCOTTS MIRACLE-GRO CO CL A,"Susquehanna Securities, LLC"
SMH,VANECK VECTORS ETF TR SEMICONDUCTOR ET,"Susquehanna Securities, LLC"
SMHB,UBS AG LONDON BRANCH ETRACS MNTHLY B,
SMHI,SEACOR MARINE HLDGS INC COM,"Group One Trading, L.P."
SMHYL,"Merrill Lynch & Co., Inc.",
SMICY,SEMICONDUCTOR MFG INTL CORP SPONSORED ADS,
SMID,SMITH MIDLAND CORP COM,
SMIN,ISHARES TR MSCI INDIA SM CP,
SMIT,SCHMITT INDS INC ORE COM NEW,
SMLE,DBX ETF TR XTRACKERS S&P SM,
SMLF,ISHARES TR MSCI USA SML CP,
SMLP,SUMMIT MIDSTREAM PARTNERS LP COM UNIT LTD,"Group One Trading, L.P."
SMLV,SPDR SER TR SSGA US SMAL ETF,
SMM,SALIENT MIDSTREAM & MLP FD SH BEN INT,
SMMD,ISHARES TR RUSEL 2500 ETF,
SMMF,SUMMIT FINL GROUP INC COM,
SMMT,SUMMIT THERAPEUTICS INC COM,
SMMU,PIMCO ETF TR SHTRM MUN BD ACT,
SMMV,ISHARES TR MSCI USA SMCP MN,
SMN,PROSHARES TR BASIC MAT NEW,Citadel Securities LLC
SMOG,VANECK VECTORS ETF TR LOW CARBN ENERGY,"Susquehanna Securities, LLC"
SMP,STANDARD MTR PRODS INC COM,"Wolverine Trading, LLC"
SMPL,SIMPLY GOOD FOODS CO COM,"Susquehanna Securities, LLC"
SMRTQ,STEIN MART INC COM,Citadel Securities LLC
SMSI,SMITH MICRO SOFTWARE INC COM NEW,"Susquehanna Securities, LLC"
SMSMY,SIMS METAL MANAG-SPON ADR,
SMTC,SEMTECH CORP COM,"Susquehanna Securities, LLC"
SMTI,SANARA MEDTECH INC COM,
SMTS,SIERRA METALS INC COM,
SMTX,SMTC CORP COM NEW,"Susquehanna Securities, LLC"
SNA,SNAP ON INC COM,Citadel Securities LLC
SNAP,SNAP INC CL A,Citadel Securities LLC
SNBR,SLEEP NUMBER CORP COM,Citadel Securities LLC
SNCA,SENECA BIOPHARMA INC COM,
SNCR,SYNCHRONOSS TECHNOLOGIES INC COM,Citadel Securities LLC
SNCY,SUN CTRY AIRLS HLDGS INC COM,
SND,SMART SAND INC COM,"Wolverine Trading, LLC"
SNDL,SUNDIAL GROWERS INC COM,Citadel Securities LLC
SNDR,SCHNEIDER NATIONAL INC CL B,"Susquehanna Securities, LLC"
SNDX,SYNDAX PHARMACEUTICALS INC COM,"Group One Trading, L.P."
SNES,SENESTECH INC COM NEW,
SNEX,STONEX GROUP INC COM,"Wolverine Trading, LLC"
SNFCA,SECURITY NATL FINL CORP CL A NEW,
SNGX,SOLIGENIX INC COM,
SNGXW,SOLIGENIX INC WT EXP 111421,
SNII=,SUPERNOVA PARTNERS ACQUISTN II UNIT,
SNLN,HIGHLAND FDS I HI LD IBOXX SRLN,
SNMP,EVOLVE TRANSITION INFRASTRU LP COM UNITS REP B,
SNN,SMITH & NEPHEW PLC SPDN ADR NEW,"Wolverine Trading, LLC"
SNNAQ,SIENNA BIOPHARMACEUTICALS INC COM,
SNOA,SONOMA PHARMACEUTICALS INC COM NEW,
SNOW,SNOWFLAKE INC CL A,"Wolverine Trading, LLC"
SNP,CHINA PETROLEUM & CHEMICAL CRP SPON ADR H SHS,
SNPE,DBX ETF TR XTRACKERS S&P,
SNPR,TORTOISE ACQUISITION CORP II COM CL A,Citadel Securities LLC
SNPR+,TORTOISE ACQUISITION CORP II WT EXP 061427,
SNPR=,TORTOISE ACQUISITION CORP II UNIT EX 061427,
SNPS,SYNOPSYS INC COM,"Susquehanna Securities, LLC"
SNPX,SYNAPTOGENIX INC COM,
SNR,NEW SR INVT GROUP INC COM,Belvedere Trading LLC
SNRH,SENIOR CONNECT ACQUISITN CORP COM CL A,
SNRHU,SENIOR CONNECT ACQUISITN CORP UNIT EXP 120923,
SNRHW,SENIOR CONNECT ACQUISITN CORP WT EXP 123127,
SNSE,SENSEI BIOTHERAPEUTICS INC COM,
SNSR,GLOBAL X FDS INTERNET OF THNG,
SNUG,ALPHA ARCHITECT ETF TR MERLYN AI ETF,
SNV,SYNOVUS FINL CORP COM NEW,GTS Securities LLC
SNV-D,SYNOVUS FINL CORP PERP PFD SER D,
SNV-E,SYNOVUS FINL CORP 5.875 PFD SER E,
SNX,SYNNEX CORP COM,Citadel Securities LLC
SNY,SANOFI SPONSORED ADR,"Two Sigma Securities, LLC"
SO,SOUTHERN CO COM,Citadel Securities LLC
SOAC,SUSTAINABLE OPPORTNTS ACQ CORP ORD SHS A,"Wolverine Trading, LLC"
SOAC+,SUSTAINABLE OPPORTNTS ACQ CORP WT EXP,
SOAC=,SUSTAINABLE OPPORTNTS ACQ CORP UNIT,
SOCL,GLOBAL X FDS SOCIAL MED ETF,"Susquehanna Securities, LLC"
SOFO,SONIC FDRY INC COM NEW,
SOGO,SOGOU INC ADR REPSTG A,"Wolverine Trading, LLC"
SOHO,SOTHERLY HOTELS INC COM,
SOHOB,SOTHERLY HOTELS INC PFD SER B,
SOHON,SOTHERLY HOTELS INC 8.25% CM PFD D,
SOHOO,SOTHERLY HOTELS INC 7.875% PFD SER C,
SOHU,SOHU COM LTD SPONSORED ADS,Citadel Securities LLC
SOI,SOLARIS OILFIELD INFRASTRUCTUR COM CL A,"Wolverine Trading, LLC"
SOJB,SOUTHERN CO JR SUB NT 76,
SOJC,SOUTHERN CO JR 2017B NT 77,
SOJD,SOUTHERN CO NT 4.95% 80,
SOJE,SOUTHERN CO 4.20% NT S20C 60,
SOL,RENESOLA LTD SPONSORED ADS,Citadel Securities LLC
SOLN,SOUTHERN CO CORP UNIT 19 A,
SOLO,ELECTRAMECCANICA VEHS CORP COM NEW,"Group One Trading, L.P."
SOLOW,ELECTRAMECCANICA VEHS CORP WT EXP 080323,
SOLY,SOLITON INC COM,
SON,SONOCO PRODS CO COM,
SONM,SONIM TECHNOLOGIES INC COM,
SONN,SONNET BIOTHERAPEUTC HLDNG INC COM,
SONO,SONOS INC COM,Citadel Securities LLC
SONY,SONY GROUP CORPORATION SPONSORED ADR,GTS Securities LLC
SOR,SOURCE CAP INC COM,
SOS,SOS LIMITED SPNSORD ADS NEW,"Group One Trading, L.P."
SOXL,DIREXION SHS ETF TR DLY SCOND 3XBU,"Susquehanna Securities, LLC"
SOXS,DIREXION SHS ETF TR DLY SEMICNDTR BR,"Susquehanna Securities, LLC"
SOXX,ISHARES TR PHLX SEMICND ETF,"Susquehanna Securities, LLC"
SOYB,TEUCRIUM COMMODITY TR SOYBEAN FD,Belvedere Trading LLC
SP,SP PLUS CORP COM,Belvedere Trading LLC
SPAB,SPDR SER TR PORTFOLIO AGRGTE,"Wolverine Trading, LLC"
SPAK,ETF SER SOLUTIONS DEFIANCE NXT GN,Belvedere Trading LLC
SPAQ,SPARTAN ACQUISITION CORP III COM CL A,"Group One Trading, L.P."
SPAQ+,SPARTAN ACQUISITION CORP III WT EXP 020426,
SPAQ=,SPARTAN ACQUISITION CORP III UNIT,
SPB,SPECTRUM BRANDS HLDGS INC NEW COM,"Susquehanna Securities, LLC"
SPBO,SPDR SER TR PORTFOLIO CRPORT,
SPCB,SUPERCOM LTD NEW SHS NEW,
SPCE,VIRGIN GALACTIC HOLDINGS INC COM,Citadel Securities LLC
SPCX,COLLABORATIVE INVESTMNT SER TR THE SPAC AND NEW,Belvedere Trading LLC
SPD,SIMPLIFY EXCHANGE TRADED FUNDS US EQT PLS DWNSD,
SPDN,DIREXION SHS ETF TR DLY S&P500 BR 1X,Belvedere Trading LLC
SPDV,ETF SER SOLUTIONS AAM S&P 500,
SPDW,SPDR INDEX SHS FDS PORTFOLIO DEVLPD,Belvedere Trading LLC
SPE,SPECIAL OPPORTUNITIES FD INC COM,
SPE-B,SPECIAL OPPORTUNITIES FD INC PFD CONV SE B,
SPEM,SPDR INDEX SHS FDS PORTFOLIO EMG MK,Belvedere Trading LLC
SPESG,S&P 500 ESG Index,
SPEU,SPDR INDEX SHS FDS PORTFLO EURP ETF,
SPFF,GLOBAL X FDS GLBX SUPRINC ETF,
SPFI,SOUTH PLAINS FINANCIAL INC COM,
SPFR,JAWS SPITFIRE ACQUISITION CORP SHS CL A,
SPFR+,JAWS SPITFIRE ACQUISITION CORP WT EXP 120125,
SPFR=,JAWS SPITFIRE ACQUISITION CORP UNIT,
SPG,SIMON PPTY GROUP INC NEW COM,"Susquehanna Securities, LLC"
SPG-J,SIMON PPTY GROUP INC NEW PFD J 8.375%,
SPGI,S&P GLOBAL INC COM,Morgan Stanley & Co. LLC
SPGM,SPDR INDEX SHS FDS PORTFLI MSCI GBL,
SPGP,INVESCO EXCHANGE TRADED FD TR S&P 500 GARP ETF,
SPGS=,SIMON PROPERTY GRP ACQ HOLDIN UNIT,
SPH,SUBURBAN PROPANE PARTNERS L P UNIT LTD PARTN,Morgan Stanley & Co. LLC
SPHB,INVESCO EXCH TRADED FD TR II S&P 500 HB ETF,"Susquehanna Securities, LLC"
SPHD,INVESCO EXCH TRADED FD TR II S&P500 HDL VOL,"Wolverine Trading, LLC"
SPHQ,INVESCO EXCHANGE TRADED FD TR S&P500 QUALITY,"Susquehanna Securities, LLC"
SPHS,SOPHIRIS BIO INC COM NEW,
SPHY,SPDR SER TR PORTFLI HIGH YLD,
SPI,SPI ENERGY CO LTD SHS NEW,"Susquehanna Securities, LLC"
SPIB,SPDR SER TR PORTFOLIO INTRMD,"Wolverine Trading, LLC"
SPIP,SPDR SER TR PORTFLI TIPS ETF,Belvedere Trading LLC
SPKBU,SILVER SPIKE ACQUISITN CORP II UNIT EXP 022626,
SPKE,SPARK ENERGY INC CL A COM,Citadel Securities LLC
SPKEP,SPARK ENERGY INC PFD SER A,
SPLB,SPDR SER TR PORTFOLIO LN COR,"Wolverine Trading, LLC"
SPLG,SPDR SER TR PORTFOLIO S&P500,Belvedere Trading LLC
SPLK,SPLUNK INC COM,Morgan Stanley & Co. LLC
SPLP,STEEL PARTNERS HLDGS L P LTD PRTRSHIP U,
SPLP-A,STEEL PARTNERS HLDGS L P PFD SER A,
SPLV,INVESCO EXCH TRADED FD TR II S&P500 LOW VOL,"Susquehanna Securities, LLC"
SPMB,SPDR SER TR PORTFLI MORTGAGE,
SPMD,SPDR SER TR PORTFOLIO S&P400,
SPMO,INVESCO EXCH TRADED FD TR II S&P 500 MOMNTM,
SPMV,INVESCO EXCH TRADED FD TR II S&P500 MIN VAR,
SPNE,SEASPINE HLDGS CORP COM,Citadel Securities LLC
SPNS,SAPIENS INTL CORP N V SHS,"Susquehanna Securities, LLC"
SPNT,SIRIUSPOINT LTD COM,"Wolverine Trading, LLC"
SPNV,SUPERNOVA PARTNERS ACQUISITION COM CL A,
SPNV+,SUPERNOVA PARTNERS ACQUISITION WT EXP 101625,
SPNV=,SUPERNOVA PARTNERS ACQUISITION UNIT EX,
SPOK,SPOK HLDGS INC COM,
SPOT,SPOTIFY TECHNOLOGY S A SHS,Morgan Stanley & Co. LLC
SPPI,SPECTRUM PHARMACEUTICALS INC COM,Morgan Stanley & Co. LLC
SPPP,SPROTT PHYSICAL PLAT PALLAD TS UNIT,
SPQQ,SIREN ETF TR LG BLND IDX ETF,
SPR,SPIRIT AEROSYSTEMS HLDGS INC COM CL A,"Susquehanna Securities, LLC"
SPRB,SPRUCE BIOSCIENCES INC COM,
SPRE,TIDAL ETF TR SP FUNDS S&P GBL,
SPRO,SPERO THERAPEUTICS INC COM,
SPRQ,SPARTAN ACQUISITION CORP II COM,Citadel Securities LLC
SPRQ+,SPARTAN ACQUISITION CORP II WT EXP 112825,
SPRQ=,SPARTAN ACQUISITION CORP II UNIT EX,
SPRT,SUPPORT COM INC COM NEW,"Wolverine Trading, LLC"
SPSB,SPDR SER TR PORTFOLIO SHORT,"Wolverine Trading, LLC"
SPSC,SPS COMM INC COM,"Wolverine Trading, LLC"
SPSK,TIDAL ETF TR SP DWJNS SUKUK,
SPSM,SPDR SER TR PORTFOLIO S&P600,Belvedere Trading LLC
SPT,SPROUT SOCIAL INC COM CL A,
SPTI,SPDR SER TR PORTFLI INTRMDIT,Belvedere Trading LLC
SPTKU,SPORTSTEK ACQUISITION CORP UNIT EX 021628,
SPTL,SPDR SER TR PORTFOLIO LN TSR,"Wolverine Trading, LLC"
SPTM,SPDR SER TR PORTFOLI S&P1500,Belvedere Trading LLC
SPTN,SPARTANNASH CO COM,
SPTS,SPDR SER TR PORTFOLIO SH TSR,Belvedere Trading LLC
SPUC,SIMPLIFY EXCHANGE TRADED FUNDS US EQT PLS UPSID,
SPUS,TIDAL ETF TR SP FDS S&P 500,
SPUU,DIREXION SHS ETF TR DLY S&P500 2XS,
SPVM,INVESCO EXCHANGE TRADED FD TR S&P 500 VLU MOMN,
SPVU,INVESCO EXCH TRADED FD TR II S&P 500 ENHNCD,
SPWH,SPORTSMANS WHSE HLDGS INC COM,Belvedere Trading LLC
SPWR,SUNPOWER CORP COM,"Susquehanna Securities, LLC"
SPX,SPX,
SPXB,PROSHARES TR S&P 500 BD ETF,
SPXC,SPX CORP COM,"Susquehanna Securities, LLC"
SPXE,PROSHARES TR SP500 EX ENRGY,
SPXL,DIREXION SHS ETF TR DRX S&P500BULL,GTS Securities LLC
SPXN,PROSHARES TR SP500 EX FINLS,
SPXS,DIREXION SHS ETF TR DLY S&P500 BR 3X,GTS Securities LLC
SPXT,PROSHARES TR SP500 EX TECH,
SPXU,PROSHARES TR ULTRAPRO SHORT S,GTS Securities LLC
