Symbol,CompanyName,DpmName
SEER,SEER INC COM CL A,"Susquehanna Securities, LLC"
SEF,PROSHARES TR PSHS SHTFINL ETF,
SEIC,SEI INVTS CO COM,Citadel Securities LLC
SEIX,VIRTUS ETF TR II SEIX SR LN ETF,
SELB,SELECTA BIOSCIENCES INC COM,"Group One Trading, L.P."
SELF,GLOBAL SELF STORAGE INC COM,
SEM,SELECT MED HLDGS CORP COM,"Susquehanna Securities, LLC"
SEMR,SEMRUSH HLDGS INC CL A COM,
SENEA,SENECA FOODS CORP NEW CL A,
SENEB,SENECA FOODS CORP NEW CL B,
SENS,SENSEONICS HLDGS INC COM,"Susquehanna Securities, LLC"
SENT,ADVISORSHARES TR ALPHA DNA EQUITY,
SEPZ,LISTED FD TR TRUESHARES STRUC,
SESN,SESEN BIO INC COM,"Susquehanna Securities, LLC"
SF,STIFEL FINL CORP COM,"Susquehanna Securities, LLC"
SF-A,STIFEL FINL CORP DSHS 1/40 PF A,
SF-B,STIFEL FINL CORP 6.25 DPSHS PFD B,
SF-C,STIFEL FINL CORP DEP RP SHS PFD C,
SFB,STIFEL FINL CORP 5.20% SR NT 47,
SFBC,SOUND FINL BANCORP INC COM,
SFBS,SERVISFIRST BANCSHARES INC COM,Citadel Securities LLC
SFE,SAFEGUARD SCIENTIFICS INC COM NEW,Citadel Securities LLC
SFET,SAFE T GROUP LTD SPONSORD ADS NEW,
SFHY,WISDOMTREE TR US SHRT TRM HIGH,
SFIG,WISDOMTREE TR US SHT TRM CORP,
SFIX,STITCH FIX INC COM CL A,"Susquehanna Securities, LLC"
SFL,SFL CORPORATION LTD SHS,"Susquehanna Securities, LLC"
SFM,SPROUTS FMRS MKT INC COM,"Susquehanna Securities, LLC"
SFNC,SIMMONS 1ST NATL CORP CL A $1 PAR,"Wolverine Trading, LLC"
SFST,SOUTHERN FIRST BANCSHARES COM,
SFT,SHIFT TECHNOLOGIES INC CL A,Citadel Securities LLC
SFTW,OSPREY TECHNLGY AQUISTION CORP COM CL A,
SFTW+,OSPREY TECHNLGY AQUISTION CORP WT EXP 103024,
SFTW=,OSPREY TECHNLGY AQUISTION CORP UNIT EX 103024,
SFUN,FANG HLDGS LTD ADR NEW,"Susquehanna Securities, LLC"
SFY,TIDAL ETF TR SOFI SELCT 500,
SFYF,TIDAL ETF TR SOFI 50 ETF,
SFYX,TIDAL ETF TR SOFI NEXT 500,
SGA,SAGA COMMUNICATIONS INC CL A NEW,
SGAM,SEAPORT GLOBAL ACQUISITN CORP COM CL A,
SGAMU,SEAPORT GLOBAL ACQUISITN CORP UNIT EX,
SGAMW,SEAPORT GLOBAL ACQUISITN CORP WT EXP 121527,
SGBX,SG BLOCKS INC COM NEW,
SGC,SUPERIOR GROUP OF CO INC COM,
SGDJ,SPROTT ETF TRUST JR GOLD MINERS E,
SGDM,SPROTT ETF TRUST GOLD MINERS ETF,
SGEN,SEAGEN INC COM,"Group One Trading, L.P."
SGFY,SIGNIFY HEALTH INC CL A COM,Citadel Securities LLC
SGG,BARCLAYS BANK PLC ETN LKD 48,Citadel Securities LLC
SGGFF,BARCLAYS BANK PLC ETN DJUBS SGAR38,
SGH,SMART GLOBAL HLDGS INC SHS,Citadel Securities LLC
SGLB,SIGMA LABS INC COM,Belvedere Trading LLC
SGLBW,SIGMA LABS INC WT EXP 150222,
SGMA,SIGMATRON INTL INC COM,
